Day,No,Type,Time,Content
3,4,**本気(解決)**,12:00,"【画像文字案】
1日5分。
スマホを置いて
向き合うだけ。

【本文】
タスク報告だけの会話から脱却する「5分ルール」。
1日5分だけ、スマホを置いて向き合う。

（改行）

話す内容は「今日あった、心が動いたこと」。
「桜が綺麗だった」「ランチが美味しかった」。
情報の共有ではなく、感情の共有が、心の距離を縮めます。
詳しいやり方はNoteで。
#夫婦の時間 #会話術"
3,5,軽め(共感),15:00,"LINEの履歴を見返すと、事務的すぎてAIみたい。
もっと人間味のある会話がしたいなあ。
同じ悩みの方、プロフ見てください。"
3,6,軽め(一言),17:00,"帰宅直後の「おかえり」のテンションで、夜の雰囲気が決まる説。
今日はちょっと明るめに言ってみようかな。
結果はまた報告しますね。"
3,7,**本気(誘導)**,20:00,"【画像文字案】
今さら何を
話せばいいか
わからない。

【本文】
「今さら何を話せばいいかわからない」という方へ。
会話のリハビリが必要です。

（改行）

タスク報告だけの関係から、恋人のような会話を取り戻す「小さな3ステップ」をNoteで公開中。
まずはステップ1から試してみてください。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ"
3,8,軽め(夜),21:00,"夫がテレビを見て笑ってる。
その笑顔、私に向けてくれたのいつだっけ。
ふと寂しくなる瞬間です。"
3,9,軽め(夜),22:00,"寝る前のスマホタイム、お互い無言。
この静けさが「平和」なのか「冷戦」なのか、たまにわからなくなる。
共感したら「いいね」ください。"
3,10,軽め(〆),23:00,"言葉にしないと伝わらないこと、たくさんありますよね。
明日は一つでも伝えられますように。
おやすみなさい。"
4,1,**本気(共感)**,07:00,"【画像文字案】
同じ部屋なのに
イヤホンで
別世界。

【本文】
同じリビングにいるのに、お互いイヤホンをして別世界。
「これってうちだけ？」と思ったことありませんか？

（改行）

物理的な距離は1メートルなのに、心の距離は100キロ。
この「見えない壁」が分厚くなる前に、気づいてほしい。
私の失敗談はプロフの固定投稿へ。
#家庭内別居 #スマホ依存"
4,2,軽め(問),08:00,"【質問】
家でスマホ触ってる時間と、パートナーと話してる時間、どっちが長い？

（改行）

…計算するのが怖いですね。
スマホの方が長い人、正直に教えてください。"
4,3,軽め(一言),10:00,"イヤホン外して「ねえ」って話しかけるの、勇気いりますよね。
無視されたらどうしようって。
その勇気、応援してます。"
4,4,**本気(解決)**,12:00,"【画像文字案】
無理に話さなくていい。
ただ「同じもの」を
見るだけでいい。

【本文】
スマホとイヤホンが作る「見えない壁」を壊す方法。
無理に会話しようとしなくていいです。

（改行）

ただ、「同じものを見る」時間を作ること。
テレビでも、YouTubeでも、窓の外の月でもいい。
「視線の共有」は「意識の共有」。
そこから自然な会話が生まれます。
#夫婦の団欒 #脱スマホ"
4,5,軽め(共感),15:00,"昔は映画観ながらあーだこーだ言ってたのに。
今はそれぞれの画面でそれぞれの動画。
便利だけど、寂しいですよね。"
4,6,軽め(一言),17:00,"「ご飯できたよ」ってLINEで送るの、やめようかな。
ちゃんと声で呼びに行こう。
小さな変化が大事です。"
4,7,**本気(誘導)**,20:00,"【画像文字案】
放置すると
「同居人」で
固定されます。

【本文】
家庭内別居状態は、放置すると「同居人」として固定化されます。
一度固定化されると、戻すのは大変。

（改行）

スマホに逃げる夜の習慣を、少しだけ変える「3つの声かけ」をNoteにまとめました。
壁を薄くする第一歩です。
▼記事はプロフのリンクから
#レス解消 #夫婦関係"
4,8,軽め(夜),21:00,"ふと目が合った瞬間、すぐに逸らしてしまう。
照れなのか、気まずさなのか。
目を合わせるのって、意外とハードル高いですよね。"
4,9,軽め(夜),22:00,"隣で寝息が聞こえる。
生きててくれるだけで感謝、と思えれば楽なんだけど。
もっと求めてしまう自分がいる。
わがままじゃないですよ。"
4,10,軽め(〆),23:00,"今日も一日お疲れ様でした。
明日はスマホより、パートナーの顔を1秒長く見られますように。
おやすみなさい。"
5,1,**本気(共感)**,07:00,"【画像文字案】
夫の悩み
知ってますか？
「知らない」と気づいて
ゾッとした。

【本文】
正直に言います。
最近、パートナーの「仕事の悩み」や「今一番やりたいこと」、知っていますか？

（改行）

「知ろうとも思ってないかも」と気づいた時、自分が冷たい人間に思えてゾッとする。
関心の喪失は、愛の終わりの始まりです。
危機感を感じたらプロフへ。
#夫婦の危機 #無関心"
5,2,軽め(挨拶),08:00,"おはようございます。
今日はパートナーの「顔色」チェックから。
疲れてそう？楽しそう？
観察は愛です。"
5,3,軽め(問),10:00,"パートナーの新しい服や髪型、気づいてますか？
「あれ、それいつ買ったの？」って言った時の、あの空気…。
経験ある人いますか？"
5,4,**本気(解決)**,12:00,"【画像文字案】
「もし1億円
当たったら？」
魔法の質問で
恋を取り戻す。

【本文】
興味を取り戻すための魔法の質問。
「もし宝くじで1億円当たったら、何したい？」

（改行）

突拍子もない質問でいいんです。
日常の役割（パパ・ママ）を脱いで、一人の人間としての「欲望」や「夢」を聞くこと。
意外な一面が見えて、また恋ができるかもしれません。
他の質問リストはNoteで。
#夫婦の会話 #質問力"
5,5,軽め(共感),15:00,"昔はあんなに知りたかったのに。
今は「元気ならそれでいい」って、諦め半分で思っちゃう。
これ、老化現象ですかね？"
5,6,軽め(一言),17:00,"相手に関心がないと、自分も関心を持たれなくなる。
鏡の法則って残酷だけど真実。
まずは自分から。"
5,7,**本気(誘導)**,20:00,"【画像文字案】
好きの反対は
嫌いじゃなく
無関心。

【本文】
「好き」の反対は「嫌い」ではなく「無関心」。
マザー・テレサの言葉が胸に刺さります。

（改行）

パートナーへの興味を失いかけているあなたへ。
もう一度、相手を知りたくなる「3つの質問」をNoteで紹介しています。
関係が冷え切る前に、試してみてください。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ"
5,8,軽め(夜),21:00,"昔の写真を見返して、「若いなー」って笑い合う。
そういう時間が、心を温めるんだよね。
今夜、アルバム開いてみませんか？"
5,9,軽め(夜),22:00,"背中合わせで寝るのが当たり前。
でも今日は、背中が触れるくらいの距離で寝てみようかな。
ドキドキしますね。"
5,10,軽め(〆),23:00,"関心を持つことは、エネルギーがいります。
でも、その価値はあるはず。
おやすみなさい。"
6,1,**本気(共感)**,07:00,"【画像文字案】
「どうせ
わかってくれない」
そう思って
飲み込んだ言葉。

【本文】
「どうせ話してもわかってもらえない」
そう思って、大事なことを飲み込んだ経験はありませんか？

（改行）

その「飲み込んだ言葉」が積み重なって、心の壁になります。
諦めは、楽だけど寂しい。
その寂しさを、まだ手放さないでください。
私の体験談はプロフへ。
#夫婦喧嘩 #諦め"
6,2,軽め(問),08:00,"【質問】
最後に本音で喧嘩したのはいつですか？

（改行）

喧嘩しなくなるのが、一番危ないサインかも。
喧嘩できるうちは華です。"
6,3,軽め(一言),10:00,"「言わなくてもわかるでしょ」は幻想。
言わなきゃ伝わらない。他人だもの。
これ、壁に貼っておきたい言葉。"
6,4,**本気(解決)**,12:00,"【画像文字案】
主語を「私」に
変えるだけ。
相手の耳が
劇的に開く。

【本文】
諦めかけたコミュニケーションを再開する方法。
「I（アイ）メッセージ」を使うこと。

（改行）

「なんで〇〇してくれないの！」（Youメッセージ）は責める言葉。
「私は〇〇してくれたら嬉しい」（Iメッセージ）は提案の言葉。
主語を「私」に変えるだけで、相手の耳は開きます。
練習方法はNoteで。
#伝え方 #アサーション"
6,5,軽め(共感),15:00,"期待するから傷つく。
だから期待しないようにする。
これ、自分を守るための鎧だけど、重いんだよね。
脱ぎたい人、いますか？"
6,6,軽め(一言),17:00,"諦めるのはいつでもできる。
今日はあと1回だけ、信じて話しかけてみよう。
その1回が奇跡を起こすかも。"
6,7,**本気(誘導)**,20:00,"【画像文字案】
まだ
諦めたくない。
その気持ちが
あれば大丈夫。

【本文】
「もう無理かも」と思う瞬間は誰にでもあります。
でも、あなたはまだ、この記事を読んでいる。
それは「まだ諦めたくない」という証拠です。

（改行）

諦めかけた夫婦が、もう一度向き合うための「最後の一手」をNoteに書きました。
勇気を出して、読んでみてください。
▼記事はプロフのリンクから
#レス解消 #夫婦再構築"
6,8,軽め(夜),21:00,"寝室に行くのが憂鬱な夜。
「おやすみ」の一言さえ、壁に向かって言ってるみたい。
壁打ち卒業したいですね。"
6,9,軽め(夜),22:00,"もし明日、相手がいなくなったら。
後悔しないと言い切れるかな。
そう思うと、少し優しくなれる気がします。"
6,10,軽め(〆),23:00,"諦めない強さを持つあなたを応援しています。
ゆっくり休んでください。
おやすみなさい。"
7,1,**本気(共感)**,07:00,"【画像文字案】
「いってらっしゃい」
のハグだけ。
夜は布団が
別世界。

【本文】
スキンシップ、「いってらっしゃい」の軽いハグだけで終わっていませんか？
それは「挨拶」であって「触れ合い」ではありません。

（改行）

夜は布団が別世界。
触れたいけど、拒否されるのが怖くて触れられない。
そのジレンマ、痛いほどわかります。
私の解決策はプロフの固定投稿へ。
#スキンシップ #レス予備軍"
7,2,軽め(挨拶),08:00,"おはようございます。日曜の朝。
ゆっくりコーヒー飲みながら、手をつなぐ…なんてドラマみたいな朝、憧れる。
現実はバタバタですが（笑）"
7,3,軽め(問),10:00,"パートナーの体温、覚えてますか？
高いか低いか、最近確かめてないな…。
今日、確かめてみませんか？"
7,4,**本気(解決)**,12:00,"【画像文字案】
「肩凝ってない？」
は断られない
魔法の言葉。

【本文】
儀礼的なハグから、意味のあるスキンシップへ。
ハードルが高いなら、「マッサージ」から始めましょう。

（改行）

「肩凝ってない？揉んであげる」は、断られにくい魔法の言葉。
触れる口実を作ること。
そこから、肌の感覚を思い出していくんです。
詳しい手順はNoteで。
#マッサージ #夫婦のスキンシップ"
7,5,軽め(共感),15:00,"手をつなぐのって、キスより恥ずかしい時がある。
でも、つないだ時の安心感は異常。
久しぶりにつないでみようかな。"
7,6,軽め(一言),17:00,"「触れたい」って言えたら楽なのに。
言葉にすると壊れそうで言えない。
察してほしい、は甘えですかね？"
7,7,**本気(誘導)**,20:00,"【画像文字案】
セックスレスは
日常の
スキンシップ消滅
から始まる。

【本文】
布団が別世界になる前に。
セックスレスへの入り口は、日常のスキンシップの消滅から始まります。

（改行）

義務感ではなく、自然に触れ合える関係を取り戻す「3つの工夫」をNoteで公開しました。
夜の距離を縮めたい方、必読です。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ"
7,8,軽め(夜),21:00,"明日からまた月曜日。
この週末、少しは距離縮まったかな。
焦らずいきましょう。"
7,9,軽め(夜),22:00,"勇気を出して、寝る前に手を握ってみた。
握り返してくれた。
それだけで泣きそう。
おやすみなさい。"
7,10,軽め(〆),23:00,"1週間お疲れ様でした。
あなたの小さな一歩が、二人の未来を変えます。
プロフの固定投稿もぜひ。
おやすみなさい。"
8,1,本気(共感),07:00,"【画像文字案】
誘われることがプレッシャーになる苦しさ
「身構える」時点で、スキンシップが負担に...

【本文】
「パートナーからの誘い、『どうしよう』って身構えてしまうことありませんか？」

（改行）

「夫から誘われたらどうしよう、って身構えちゃう。応えなきゃ、って義務感がある。」
「身構える」時点で、スキンシップが負担になっている 「応えなきゃ」という義務感が、本来喜びであるべき行為を苦痛に変えている 拒否すると罪悪感、応じると虚しさ、という二重の苦しさ
私の実体験はプロフの固定投稿へ。
#子どもあり / 産後 / プチレス予備軍 #問題"
8,2,軽め(挨拶),08:00,"おはようございます。
誘われることがプレッシャーになる苦しさについて、ふと考えました。
今日も無理せずいきましょう。"
8,3,軽め(問),10:00,"【質問】
誘われることがプレッシャーになる苦しさ、感じたことありますか？

（改行）

正直に教えてください🙋‍♀️"
8,4,本気(解決),12:00,"【画像文字案】
「身構える」時点で、スキンシップが負担に...
それが
解決の鍵。

【本文】
「身構える」時点で、スキンシップが負担になっている 「応えなきゃ」という義務感が、本来喜びであるべき行為を苦痛に変えている 拒否すると罪悪感、応じると虚しさ、という二重の苦しさ

（改行）

「義務感で応じるスキンシップから、もう一度『したい』を取り戻すまでの道のり」
具体的な方法はNoteで公開中。
#子どもあり / 産後 / プチレス予備軍 #解決策"
8,5,軽め(共感),15:00,"「夫から誘われたらどうしよう、って身構えちゃう。応えなきゃ、って義務感がある。」
これ、あるあるですよね。
共感したら「いいね」お願いします。"
8,6,軽め(一言),17:00,"夕方のこの時間、ふと思います。
「身構える」時点で、スキンシップが負担に...
小さな変化が大事です。"
8,7,本気(誘導),20:00,"【画像文字案】
誘われることがプレッシャーになる苦しさ
諦めないで。
まだ間に合う。

【本文】
誘われることがプレッシャーになる苦しさ。
その悩みを抱えているあなたへ。

（改行）

「義務感で応じるスキンシップから、もう一度『したい』を取り戻すまでの道のり」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ"
8,8,軽め(夜),21:00,"夜のリビング。
「夫から誘われたらどうしよう、って身構えちゃう。応えなきゃ、って義務感がある。」
同じ気持ちの人、いますか？"
8,9,軽め(夜),22:00,"今日もお疲れ様でした。
「身構える」時点で、スキンシップが負担に...
おやすみなさい。"
8,10,軽め(〆),23:00,"明日は今日より少しだけ、心が軽くなりますように。
プロフの固定投稿もぜひ。
おやすみなさい。"
9,1,本気(共感),07:00,"【画像文字案】
デートに特別感がなくなった虚しさ
ホームセンターデートは「生活タスク」であ...

【本文】
「最近のデート、ホームセンターと買い物で終わっていませんか？」

（改行）

「デート？最近行ったのはホームセンター。全然特別感がないんだよね。」
ホームセンターデートは「生活タスク」であって「二人の時間」ではない 「デート」という言葉を使うこと自体に違和感を覚えるほど、非日常が失われている 特別感のなさ＝「恋人」ではなく「生活パートナー」としてしか見られていない不満
私の実体験はプロフの固定投稿へ。
#同棲カップル / 結婚3年以上 / マンネリ #問題"
9,2,軽め(挨拶),08:00,"おはようございます。
デートに特別感がなくなった虚しさについて、ふと考えました。
今日も無理せずいきましょう。"
9,3,軽め(問),10:00,"【質問】
デートに特別感がなくなった虚しさ、感じたことありますか？

（改行）

正直に教えてください🙋‍♀️"
9,4,本気(解決),12:00,"【画像文字案】
ホームセンターデートは「生活タスク」であ...
それが
解決の鍵。

【本文】
ホームセンターデートは「生活タスク」であって「二人の時間」ではない 「デート」という言葉を使うこと自体に違和感を覚えるほど、非日常が失われている 特別感のなさ＝「恋人」ではなく「生活パートナー」としてしか見られていない不満

（改行）

「ホームセンターデートから脱却。月1回の『特別な時間』を作る3つのアイデア」
具体的な方法はNoteで公開中。
#同棲カップル / 結婚3年以上 / マンネリ #解決策"
9,5,軽め(共感),15:00,"「デート？最近行ったのはホームセンター。全然特別感がないんだよね。」
これ、あるあるですよね。
共感したら「いいね」お願いします。"
9,6,軽め(一言),17:00,"夕方のこの時間、ふと思います。
ホームセンターデートは「生活タスク」であ...
小さな変化が大事です。"
9,7,本気(誘導),20:00,"【画像文字案】
デートに特別感がなくなった虚しさ
諦めないで。
まだ間に合う。

【本文】
デートに特別感がなくなった虚しさ。
その悩みを抱えているあなたへ。

（改行）

「ホームセンターデートから脱却。月1回の『特別な時間』を作る3つのアイデア」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ"
9,8,軽め(夜),21:00,"夜のリビング。
「デート？最近行ったのはホームセンター。全然特別感がないんだよね。」
同じ気持ちの人、いますか？"
9,9,軽め(夜),22:00,"今日もお疲れ様でした。
ホームセンターデートは「生活タスク」であ...
おやすみなさい。"
9,10,軽め(〆),23:00,"明日は今日より少しだけ、心が軽くなりますように。
プロフの固定投稿もぜひ。
おやすみなさい。"
10,1,本気(共感),07:00,"【画像文字案】
スマホに逃避する夜の習慣
「習慣になってしまった」という言葉に、諦...

【本文】
「子どもが寝た後、隣でスマホを見ている背中——もう習慣になっていませんか？」

（改行）

「子どもが寝た後、隣で夫がスマホを見ている背中を見るのが、もう習慣になってしまっ...
「習慣になってしまった」という言葉に、諦めと慣れが混在している 本来は二人の時間になるはずの「子どもが寝た後」が、孤独の時間になっている 背中を見る＝向き合ってもらえない象徴
私の実体験はプロフの固定投稿へ。
#共働き / 子どもあり / プチレス予備軍 #問題"
10,2,軽め(挨拶),08:00,"おはようございます。
スマホに逃避する夜の習慣について、ふと考えました。
今日も無理せずいきましょう。"
10,3,軽め(問),10:00,"【質問】
スマホに逃避する夜の習慣、感じたことありますか？

（改行）

正直に教えてください🙋‍♀️"
10,4,本気(解決),12:00,"【画像文字案】
「習慣になってしまった」という言葉に、諦...
それが
解決の鍵。

【本文】
「習慣になってしまった」という言葉に、諦めと慣れが混在している 本来は二人の時間になるはずの「子どもが寝た後」が、孤独の時間になっている 背中を見る＝向き合ってもらえない象徴

（改行）

「スマホに逃げる夜の習慣を、少しだけ変える3つの声かけ」
具体的な方法はNoteで公開中。
#共働き / 子どもあり / プチレス予備軍 #解決策"
10,5,軽め(共感),15:00,"「子どもが寝た後、隣で夫がスマホを見ている背中を見るのが、もう習慣になってしまっ...
これ、あるあるですよね。
共感したら「いいね」お願いします。"
10,6,軽め(一言),17:00,"夕方のこの時間、ふと思います。
「習慣になってしまった」という言葉に、諦...
小さな変化が大事です。"
10,7,本気(誘導),20:00,"【画像文字案】
スマホに逃避する夜の習慣
諦めないで。
まだ間に合う。

【本文】
スマホに逃避する夜の習慣。
その悩みを抱えているあなたへ。

（改行）

「スマホに逃げる夜の習慣を、少しだけ変える3つの声かけ」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ"
10,8,軽め(夜),21:00,"夜のリビング。
「子どもが寝た後、隣で夫がスマホを見ている背中を見るのが、もう習慣になってしまっ...
同じ気持ちの人、いますか？"
10,9,軽め(夜),22:00,"今日もお疲れ様でした。
「習慣になってしまった」という言葉に、諦...
おやすみなさい。"
10,10,軽め(〆),23:00,"明日は今日より少しだけ、心が軽くなりますように。
プロフの固定投稿もぜひ。
おやすみなさい。"
11,1,本気(共感),07:00,"【画像文字案】
干渉されない楽さと無関心の寂しさの狭間
「楽」と「寂しい」が同居する複雑な感情 ...

【本文】
「パートナーが干渉しなくなった。楽だけど、無関心に見えて寂しい——そう感じたことありませんか？」

（改行）

「夫が私に干渉しなくなった。それは楽だけど、無関心なんだと思うと寂しい」
「楽」と「寂しい」が同居する複雑な感情 干渉されないこと自体は悪くないが、「関心がない」サインとして受け取られると孤独に変わる 本当に欲しいのは「干渉」ではなく「関心を持たれている実感」
私の実体験はプロフの固定投稿へ。
#共働き / 結婚5年以上 / 軽度セックスレス #問題"
11,2,軽め(挨拶),08:00,"おはようございます。
干渉されない楽さと無関心の寂しさの狭間について、ふと考えました。
今日も無理せずいきましょう。"
11,3,軽め(問),10:00,"【質問】
干渉されない楽さと無関心の寂しさの狭間、感じたことありますか？

（改行）

正直に教えてください🙋‍♀️"
11,4,本気(解決),12:00,"【画像文字案】
「楽」と「寂しい」が同居する複雑な感情 ...
それが
解決の鍵。

【本文】
「楽」と「寂しい」が同居する複雑な感情 干渉されないこと自体は悪くないが、「関心がない」サインとして受け取られると孤独に変わる 本当に欲しいのは「干渉」ではなく「関心を持たれている実感」

（改行）

「干渉と関心の違い。パートナーに『ちゃんと見てる』を伝える小さな習慣」
具体的な方法はNoteで公開中。
#共働き / 結婚5年以上 / 軽度セックスレス #解決策"
11,5,軽め(共感),15:00,"「夫が私に干渉しなくなった。それは楽だけど、無関心なんだと思うと寂しい」
これ、あるあるですよね。
共感したら「いいね」お願いします。"
11,6,軽め(一言),17:00,"夕方のこの時間、ふと思います。
「楽」と「寂しい」が同居する複雑な感情 ...
小さな変化が大事です。"
11,7,本気(誘導),20:00,"【画像文字案】
干渉されない楽さと無関心の寂しさの狭間
諦めないで。
まだ間に合う。

【本文】
干渉されない楽さと無関心の寂しさの狭間。
その悩みを抱えているあなたへ。

（改行）

「干渉と関心の違い。パートナーに『ちゃんと見てる』を伝える小さな習慣」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ"
11,8,軽め(夜),21:00,"夜のリビング。
「夫が私に干渉しなくなった。それは楽だけど、無関心なんだと思うと寂しい」
同じ気持ちの人、いますか？"
11,9,軽め(夜),22:00,"今日もお疲れ様でした。
「楽」と「寂しい」が同居する複雑な感情 ...
おやすみなさい。"
11,10,軽め(〆),23:00,"明日は今日より少しだけ、心が軽くなりますように。
プロフの固定投稿もぜひ。
おやすみなさい。"
12,1,本気(共感),07:00,"【画像文字案】
レベル1（プチレス予備軍）— 土曜の朝のキッチン
スキンシップをプレッシャーと感じているわ...

【本文】
「パートナーから抱きしめられたとき、『あ、邪魔』って思ってしまったことありませんか？」

（改行）

健司(36歳SE)、裕子(35歳パート)。5歳の子ども1人、結婚4年目。 土曜の...
スキンシップをプレッシャーと感じているわけではないが、タスクモードで「邪魔」と反応してしまう 悪気はないが、後から「冷たくしすぎたかも」と罪悪感を感じる まだ「何とかしたい」という気持ちは残っている段階
私の実体験はプロフの固定投稿へ。
#結婚4年 / 子どもあり / プチレス予備軍 #問題"
12,2,軽め(挨拶),08:00,"おはようございます。
レベル1（プチレス予備軍）— 土曜の朝のキッチンについて、ふと考えました。
今日も無理せずいきましょう。"
12,3,軽め(問),10:00,"【質問】
レベル1（プチレス予備軍）— 土曜の朝のキッチン、感じたことありますか？

（改行）

正直に教えてください🙋‍♀️"
12,4,本気(解決),12:00,"【画像文字案】
スキンシップをプレッシャーと感じているわ...
それが
解決の鍵。

【本文】
スキンシップをプレッシャーと感じているわけではないが、タスクモードで「邪魔」と反応してしまう 悪気はないが、後から「冷たくしすぎたかも」と罪悪感を感じる まだ「何とかしたい」という気持ちは残っている段階

（改行）

「『邪魔』と言ってしまう妻と、拒まれる夫。プチレス予備軍が取り戻す3つの工夫」
具体的な方法はNoteで公開中。
#結婚4年 / 子どもあり / プチレス予備軍 #解決策"
12,5,軽め(共感),15:00,"健司(36歳SE)、裕子(35歳パート)。5歳の子ども1人、結婚4年目。 土曜の...
これ、あるあるですよね。
共感したら「いいね」お願いします。"
12,6,軽め(一言),17:00,"夕方のこの時間、ふと思います。
スキンシップをプレッシャーと感じているわ...
小さな変化が大事です。"
